INSERT INTO 'recipe' (result, first_ingredient, second_ingredient) VALUES ('fire', 'fire', 'alcohol'),
 ('fire', 'fire', 'coal'),
 ('bucket', 'paint', 'container'),
 ('bucket', 'paint', 'bottle'),
 ('bucket', 'chicken wing', 'container'),
 ('bucket', 'chicken wing', 'box'),
 ('butter', 'pressure', 'milk'),
 ('butter', 'energy', 'milk'),
 ('butter', 'milk', 'motion'),
 ('butter', 'tool', 'milk'),
 ('butterfly', 'animal', 'flower'),
 ('butterfly', 'animal', 'garden'),
 ('butterfly', 'rainbow', 'animal'),
 ('butterfly', 'double rainbow!', 'animal'),
 ('butterfly net', 'butterfly', 'net'),
 ('butterfly net', 'bee', 'net'),
 ('cactus', 'plant', 'sand'),
 ('cactus', 'sand', 'tree'),
 ('cactus', 'plant', 'desert'),
 ('cactus', 'tree', 'desert'),
 ('cage', 'metal', 'wolf'),
 ('cage', 'steel', 'wolf'),
 ('cage', 'wolf', 'wall'),
 ('cage', 'metal', 'fox'),
 ('cage', 'steel', 'fox'),
 ('cage', 'wall', 'fox'),
 ('cage', 'metal', 'lion'),
 ('cage', 'steel', 'lion'),
 ('cage', 'wall', 'lion'),
 ('cage', 'hamster', 'container'),
 ('cage', 'house', 'hamster'),
 ('cage', 'wall', 'hamster'),
 ('cake', 'dough', 'candle'),
 ('cake', 'bread', 'sugar'),
 ('camel', 'desert', 'horse'),
 ('camel', 'desert', 'animal'),
 ('camel', 'livestock', 'desert'),
 ('camel', 'cow', 'desert'),
 ('camel', 'desert', 'saddle'),
 ('camel', 'desert', 'horseshoe'),
 ('camel', 'sand', 'horse'),
 ('camel', 'sand', 'livestock'),
 ('camel', 'sand', 'cow'),
 ('camel', 'dune', 'horse'),
 ('camel', 'livestock', 'dune'),
 ('camel', 'cow', 'dune'),
 ('camel', 'animal', 'dune'),
 ('campfire', 'fire', 'wood'),
 ('candle', 'thread', 'wax'),
 ('candle', 'fire', 'wax'),
 ('candy cane', 'sugar', 'reindeer'),
 ('canvas', 'fabric', 'paint'),
 ('caramel', 'sugar', 'heat'),
 ('carbon dioxide', 'human', 'oxygen'),
 ('carbon dioxide', 'plant', 'night'),
 ('carbon dioxide', 'tree', 'night'),
 ('carbon dioxide', 'grass', 'night'),
 ('carbon dioxide', 'animal', 'oxygen'),
 ('carbon dioxide', 'fish', 'oxygen'),
 ('carbon dioxide', 'bird', 'oxygen'),
 ('carrot', 'snowman', 'vegetable'),
 ('carrot', 'sun', 'snowman'),
 ('carrot', 'grass', 'vegetable'),
 ('carrot', 'garden', 'vegetable'),
 ('castle', 'stone', 'knight'),
 ('castle', 'knight', 'wall'),
 ('castle', 'house', 'knight'),
 ('castle', 'stone', 'warrior'),
 ('castle', 'warrior', 'wall'),
 ('castle', 'house', 'warrior'),
 ('castle', 'knight', 'container'),
 ('castle', 'house', 'vampire'),
 ('castle', 'vampire', 'wall'),
 ('castle', 'monarch', 'container'),
 ('castle', 'house', 'monarch'),
 ('castle', 'wall', 'monarch'),
 ('cat', 'milk', 'animal'),
 ('cat', 'animal', 'coconut milk'),
 ('cat', 'night', 'animal'),
 ('catnip', 'plant', 'cat'),
 ('catnip', 'grass', 'cat'),
 ('catnip', 'cat', 'flower'),
 ('cauldron', 'metal', 'witch'),
 ('cauldron', 'steel', 'witch'),
 ('cauldron', 'fireplace', 'witch'),
 ('cauldron', 'campfire', 'witch'),
 ('cauldron', 'metal', 'pottery'),
 ('cauldron', 'steel', 'pottery'),
 ('cave', 'house', 'wolf'),
 ('cave', 'house', 'lion'),
 ('cave', 'house', 'fox'),
 ('cave', 'house', 'bat'),
 ('cave', 'bat', 'container'),
 ('cave', 'wolf', 'container'),
 ('cave', 'lion', 'container'),
 ('cave', 'fox', 'container'),
 ('centaur', 'human', 'horse'),
 ('centaur', 'horse', 'story'),
 ('chain', 'metal', 'rope'),
 ('chain', 'steel', 'rope'),
 ('chameleon', 'lizard', 'rainbow'),
 ('chameleon', 'lizard', 'double rainbow!'),
 ('chameleon', 'rainbow', 'snake'),
 ('chameleon', 'double rainbow!', 'snake'),
 ('chameleon', 'turtle', 'rainbow'),
 ('chameleon', 'turtle', 'double rainbow!'),
 ('charcoal', 'fire', 'wood'),
 ('charcoal', 'fire', 'tree'),
 ('charcoal', 'fire', 'corpse'),
 ('charcoal', 'fire', 'organic matter'),
 ('cheese', 'tool', 'milk'),
 ('cheese', 'time', 'milk'),
 ('cheese', 'milk', 'cook'),
 ('cheese', 'milk', 'bacteria'),
 ('chicken', 'bird', 'domestication'),
 ('chicken', 'bird', 'livestock'),
 ('chicken', 'bird', 'farmer'),
 ('chicken', 'egg', 'domestication'),
 ('chicken', 'egg', 'livestock'),
 ('chicken', 'egg', 'farmer'),
 ('chicken', 'bird', 'barn'),
 ('chicken', 'egg', 'barn'),
 ('chicken', 'bird', 'farm'),
 ('chicken', 'egg', 'farm'),
 ('chicken coop', 'house', 'chicken'),
 ('chicken coop', 'chicken', 'wall'),
 ('chicken coop', 'chicken', 'barn'),
 ('chicken coop', 'chicken', 'container'),
 ('chicken soup', 'water', 'chicken'),
 ('chicken soup', 'water', 'chicken wing'),
 ('chicken soup', 'chicken', 'liquid'),
 ('chicken soup', 'chicken wing', 'liquid'),
 ('chicken wing', 'chicken', 'bone'),
 ('chill', 'air', 'cold'),
 ('chill', 'human', 'cold'),
 ('chill', 'human', 'ice'),
 ('chimney', 'house', 'fireplace'),
 ('chimney', 'smoke', 'brick'),
 ('chimney', 'fireplace', 'brick'),
 ('chimney', 'smoke', 'fireplace'),
 ('chimney', 'house', 'smoke'),
 ('chimney', 'stone', 'smoke'),
 ('chimney', 'stone', 'fireplace'),
 ('chocolate', 'milk', 'sugar'),
 ('chocolate', 'oil', 'sugar'),
 ('chocolate', 'sugar', 'seed'),
 ('chocolate milk', 'milk', 'chocolate'),
 ('chocolate milk', 'coconut milk', 'chocolate'),
 ('city', 'village', 'village'),
 ('city', 'village', 'big'),
 ('clay', 'mud', 'sand'),
 ('clay', 'stone', 'liquid'),
 ('clay', 'sand', 'mineral'),
 ('clay', 'liquid', 'rock'),
 ('clay', 'stone', 'mineral'),
 ('clay', 'rock', 'mineral'),
 ('clay', 'mud', 'stone'),
 ('closet', 'broom', 'container'),
 ('closet', 'container', 'toolbox'),
 ('cloud', 'atmosphere', 'mist'),
 ('cloud', 'water', 'atmosphere'),
 ('cloud', 'sky', 'mist'),
 ('cloud', 'water', 'sky'),
 ('coal', 'pressure', 'organic matter'),
 ('coal', 'earth', 'peat'),
 ('coal', 'stone', 'peat'),
 ('coal', 'rock', 'peat'),
 ('coal', 'time', 'peat'),
 ('coal', 'pressure', 'peat'),
 ('coconut', 'fruit', 'palm'),
 ('coconut', 'palm', 'nuts'),
 ('coconut', 'palm', 'vegetable'),
 ('coconut', 'meat', 'palm'),
 ('coconut', 'fruit', 'beach'),
 ('coconut', 'beach', 'vegetable'),
 ('coconut milk', 'milk', 'coconut'),
 ('coconut milk', 'tool', 'coconut'),
 ('coconut milk', 'coconut', 'hammer'),
 ('coconut milk', 'sword', 'coconut'),
 ('coconut milk', 'blade', 'coconut'),
 ('coconut milk', 'axe', 'coconut'),
 ('coffin', 'wood', 'corpse'),
 ('coffin', 'corpse', 'container'),
 ('coffin', 'vampire', 'container'),
 ('cold', 'rain', 'human'),
 ('cold', 'human', 'mountain range'),
 ('cold', 'human', 'mountain'),
 ('cold', 'human', 'snow'),
 ('cold', 'wind', 'human'),
 ('cold', 'storm', 'human'),
 ('confetti', 'paper', 'scissors'),
 ('confetti', 'blade', 'paper'),
 ('constellation', 'star', 'star'),
 ('container', 'pottery', 'philosophy'),
 ('container', 'house', 'philosophy'),
 ('container', 'philosophy', 'box'),
 ('container', 'philosophy', 'bottle'),
 ('container', 'philosophy', 'bucket'),
 ('continent', 'big', 'land'),
 ('continent', 'land', 'land'),
 ('continent', 'mountain range', 'mountain range'),
 ('continent', 'earth', 'land'),
 ('cook', 'human', 'fruit'),
 ('cook', 'human', 'campfire'),
 ('cook', 'human', 'vegetable'),
 ('cook', 'human', 'nuts'),
 ('cookie', 'cookie dough', 'heat'),
 ('cookie', 'fire', 'cookie dough'),
 ('cookie', 'baker', 'cookie dough'),
 ('cookie dough', 'dough', 'sugar'),
 ('cookie dough', 'dough', 'chocolate'),
 ('cookie dough', 'dough', 'cookie'),
 ('coral', 'ocean', 'tree'),
 ('coral', 'sea', 'tree'),
 ('coral', 'ocean', 'fossil'),
 ('coral', 'sea', 'fossil'),
 ('coral', 'ocean', 'bone'),
 ('coral', 'sea', 'bone'),
 ('corpse', 'human', 'blade'),
 ('corpse', 'human', 'death'),
 ('corpse', 'human', 'grim reaper'),
 ('corpse', 'time', 'human'),
 ('corpse', 'explosion', 'human'),
 ('corpse', 'human', 'arrow'),
 ('cotton', 'cloud', 'plant'),
 ('cotton', 'plant', 'fabric'),
 ('cotton', 'plant', 'thread'),
 ('cotton', 'plant', 'wool'),
 ('cotton', 'plant', 'sheep'),
 ('cotton candy', 'air', 'sugar'),
 ('cotton candy', 'sugar', 'thread'),
 ('cotton candy', 'cloud', 'sugar'),
 ('cow', 'livestock', 'barn'),
 ('cow', 'field', 'livestock'),
 ('cow', 'livestock', 'grass'),
 ('cow', 'farmer', 'livestock'),
 ('crow', 'bird', 'scarecrow'),
 ('crow', 'bird', 'field'),
 ('crow', 'scarecrow', 'pigeon'),
 ('crow', 'field', 'pigeon'),
 ('crow', 'owl', 'scarecrow'),
 ('crow', 'field', 'owl'),
 ('crow', 'scarecrow', 'hummingbird'),
 ('crow', 'field', 'hummingbird'),
 ('crystal ball', 'glass', 'witch'),
 ('crystal ball', 'glass', 'wizard'),
 ('crystal ball', 'glass', 'magic'),
 ('cup', 'tea', 'container'),
 ('cup', 'tea', 'bottle'),
 ('current', 'ocean', 'motion'),
 ('current', 'sea', 'motion'),
 ('current', 'ocean', 'heat'),
 ('current', 'sea', 'heat'),
 ('current', 'ocean', 'cold'),
 ('current', 'sea', 'cold'),
 ('current', 'ocean', 'science'),
 ('current', 'sea', 'science'),
 ('dam', 'beaver', 'river'),
 ('dam', 'wall', 'river'),
 ('dam', 'tree', 'beaver'),
 ('dam', 'beaver', 'stream'),
 ('dam', 'wall', 'stream'),
 ('dam', 'house', 'beaver'),
 ('dam', 'beaver', 'lake'),
 ('dam', 'water', 'beaver'),
 ('darkness', 'sky', 'night'),
 ('darkness', 'sky', 'twilight'),
 ('dawn', 'time', 'night'),
 ('dawn', 'day', 'night'),
 ('day', 'sky', 'sun'),
 ('day', 'sun', 'night'),
 ('day', 'time', 'sun'),
 ('day', 'time', 'dawn'),
 ('death', 'time', 'life'),
 ('death', 'corpse', 'philosophy'),
 ('death', 'skeleton', 'philosophy'),
 ('death', 'grave', 'philosophy'),
 ('death', 'graveyard', 'philosophy'),
 ('desert', 'sand', 'sand'),
 ('desert', 'sand', 'land'),
 ('desert', 'sand', 'cactus'),
 ('desert', 'sand', 'lizard'),
 ('desert', 'sand', 'vulture'),
 ('dew', 'grass', 'fog'),
 ('dew', 'water', 'grass'),
 ('dew', 'plant', 'fog'),
 ('dew', 'tree', 'fog'),
 ('dew', 'grass', 'dawn'),
 ('dew', 'plant', 'dawn'),
 ('dew', 'tree', 'dawn'),
 ('dew', 'water', 'dawn'),
 ('dew', 'fog', 'dawn'),
 ('diamond', 'pressure', 'coal'),
 ('dinosaur', 'time', 'lizard'),
 ('dinosaur', 'lizard', 'big'),
 ('dog', 'wolf', 'domestication'),
 ('dog', 'farmer', 'wolf'),
 ('dog', 'wolf', 'farm'),
 ('dog', 'barn', 'wolf'),
 ('dog', 'field', 'wolf'),
 ('dog', 'wolf', 'bone'),
 ('dog', 'campfire', 'wolf'),
 ('doghouse', 'house', 'dog'),
 ('doghouse', 'dog', 'wall'),
 ('doghouse', 'dog', 'container'),
 ('doghouse', 'house', 'husky'),
 ('doghouse', 'wall', 'husky'),
 ('doghouse', 'husky', 'container'),
 ('domestication', 'farmer', 'animal'),
 ('domestication', 'human', 'animal'),
 ('domestication', 'animal', 'science'),
 ('domestication', 'farmer', 'science'),
 ('double rainbow!', 'rainbow', 'rainbow'),
 ('dough', 'water', 'flour'),
 ('dough', 'flour', 'puddle'),
 ('dough', 'rain', 'flour'),
 ('dragon', 'fire', 'lizard'),
 ('dragon', 'air', 'lizard'),
 ('dragon', 'sky', 'lizard'),
 ('dragon', 'lizard', 'legend'),
 ('dragon', 'lizard', 'story'),
 ('drum', 'wood', 'leather'),
 ('drum', 'wood', 'fabric'),
 ('drum', 'wood', 'music'),
 ('drunk', 'human', 'alcohol'),
 ('drunk', 'human', 'wine'),
 ('drunk', 'human', 'beer'),
 ('dry ice', 'cold', 'carbon dioxide'),
 ('dry ice', 'ice', 'carbon dioxide'),
 ('duck', 'water', 'bird'),
 ('duck', 'bird', 'pond'),
 ('duck', 'bird', 'lake'),
 ('duck', 'time', 'duckling'),
 ('duck', 'duckling', 'big'),
 ('duck', 'water', 'owl'),
 ('duck', 'owl', 'pond'),
 ('duck', 'owl', 'lake'),
 ('duck', 'water', 'pigeon'),
 ('duck', 'pond', 'pigeon'),
 ('duck', 'pigeon', 'lake'),
 ('duck', 'water', 'chicken'),
 ('duck', 'chicken', 'pond'),
 ('duck', 'chicken', 'lake'),
 ('duckling', 'egg', 'duck'),
 ('dune', 'wind', 'desert'),
 ('dune', 'wind', 'sand'),
 ('dune', 'wind', 'beach'),
 ('dune', 'sand', 'desert'),
 ('dune', 'desert', 'sandstorm'),
 ('dust', 'earth', 'air'),
 ('dust', 'air', 'soil'),
 ('dust', 'air', 'land'),
 ('eagle', 'bird', 'mountain'),
 ('eagle', 'bird', 'mountain range'),
 ('earthquake', 'earth', 'motion'),
 ('earthquake', 'motion', 'continent'),
 ('eclipse', 'moon', 'sun'),
 ('egg', 'bird', 'bird'),
 ('egg', 'turtle', 'turtle'),
 ('egg', 'lizard', 'lizard'),
 ('egg', 'vulture', 'vulture'),
 ('egg', 'phoenix', 'phoenix'),
 ('egg', 'chicken', 'chicken'),
 ('egg', 'dragon', 'dragon'),
 ('egg', 'penguin', 'penguin'),
 ('egg', 'owl', 'owl'),
 ('egg', 'dinosaur', 'dinosaur'),
 ('egg', 'duck', 'duck'),
 ('egg', 'seagull', 'seagull'),
 ('egg', 'eagle', 'eagle'),
 ('egg', 'scorpion', 'scorpion'),
 ('egg', 'spider', 'spider'),
 ('egg', 'pigeon', 'pigeon'),
 ('egg', 'fish', 'fish'),
 ('egg', 'piranha', 'piranha'),
 ('egg', 'parrot', 'parrot'),
 ('egg', 'peacock', 'peacock'),
 ('egg', 'hummingbird', 'hummingbird'),
 ('egg', 'chameleon', 'chameleon'),
 ('egg', 'ostrich', 'ostrich'),
 ('egg', 'woodpecker', 'woodpecker'),
 ('egg', 'bee', 'bee'),
 ('egg', 'crow', 'crow'),
 ('egg', 'frog', 'frog'),
 ('egg', 'pterodactyl', 'pterodactyl'),
 ('egg', 'ant', 'ant'),
 ('egg', 'tyrannosaurus rex', 'tyrannosaurus rex'),
 ('egg', 'moth', 'moth'),
 ('egg', 'life', 'container'),
 ('egg', 'butterfly', 'butterfly'),
 ('egg', 'snake', 'snake'),
 ('egg', 'flying fish', 'flying fish'),
 ('energy', 'fire', 'atmosphere'),
 ('energy', 'fire', 'science'),
 ('energy', 'heat', 'science'),
 ('energy', 'fire', 'fire'),
 ('eruption', 'pressure', 'volcano'),
 ('eruption', 'lava', 'pressure'),
 ('eruption', 'volcano', 'time'),
 ('excalibur', 'stone', 'sword'),
 ('excalibur', 'sword', 'legend'),
 ('excalibur', 'sword', 'story'),
 ('excalibur', 'sword', 'monarch'),
 ('excalibur', 'sword', 'lake'),
 ('excalibur', 'sword', 'fairy tale'),
 ('explosion', 'pressure', 'volcano'),
 ('explosion', 'fire', 'petroleum'),
 ('explosion', 'explosion', 'petroleum'),
 ('explosion', 'pressure', 'petroleum'),
 ('explosion', 'heat', 'petroleum'),
 ('explosion', 'lava', 'petroleum'),
 ('explosion', 'volcano', 'petroleum'),
 ('fabric', 'tool', 'thread'),
 ('fabric', 'wheel', 'thread'),
 ('fairy tale', 'story', 'monarch'),
 ('fairy tale', 'story', 'castle'),
 ('fairy tale', 'knight', 'story'),
 ('fairy tale', 'dragon', 'story'),
 ('fairy tale', 'unicorn', 'story'),
 ('family', 'human', 'human'),
 ('family', 'human', 'house'),
 ('family', 'love', 'container'),
 ('family tree', 'tree', 'family'),
 ('family tree', 'tree', 'village'),
 ('family tree', 'time', 'family'),
 ('farm', 'farmer', 'house'),
 ('farm', 'farmer', 'barn'),
 ('farm', 'house', 'barn'),
 ('farm', 'farmer', 'container'),
 ('farmer', 'plant', 'human'),
 ('farmer', 'human', 'grass'),
 ('farmer', 'human', 'pitchfork'),
 ('farmer', 'human', 'field'),
 ('farmer', 'human', 'barn'),
 ('farmer', 'human', 'plow'),
 ('faun', 'human', 'goat'),
 ('faun', 'human', 'mountain goat'),
 ('faun', 'goat', 'legend'),
 ('faun', 'mountain goat', 'legend'),
 ('faun', 'goat', 'wizard'),
 ('faun', 'wizard', 'mountain goat'),
 ('faun', 'goat', 'magic'),
 ('faun', 'mountain goat', 'magic'),
 ('fence', 'wood', 'wall'),
 ('fence', 'wood', 'field'),
 ('fence', 'field', 'wall'),
 ('fence', 'grass', 'wall'),
 ('fence', 'garden', 'wall'),
